step,speedX,speedY,speedZ,angle,trackPos,z,rpm,gear,steer,accel,brake,target_speed,target_brake,front,front_delta,left_front,right_front,apex_target,trackPos_delta,left_open,right_open,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18
21,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.29302,8488.95,1,-0.022442872406234195,0.8,0.0,118,0.0,62.0267,0.0,140.486,59.6744,0.0,0.0,140.486,59.6744,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
22,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.29302,8688.55,1,-0.022442872406234195,0.8,0.0,118,0.0,62.0267,0.0,140.486,59.6744,0.0,0.0,140.486,59.6744,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
23,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.29302,8892.93,1,-0.022442872406234195,0.8,0.0,118,0.0,62.0267,0.0,140.486,59.6744,0.0,0.0,140.486,59.6744,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
24,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.29302,9102.19,1,-0.022442872406234195,0.8,0.0,118,0.0,62.0267,0.0,140.486,59.6744,0.0,0.0,140.486,59.6744,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
25,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.29302,9316.43,1,-0.022442872406234195,0.8,0.0,118,0.0,62.0267,0.0,140.486,59.6744,0.0,0.0,140.486,59.6744,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
26,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.29302,9535.22,1,-0.022442872406234195,0.8,0.0,118,0.0,62.0267,0.0,140.486,59.6744,0.0,0.0,140.486,59.6744,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
27,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.29302,9754.55,1,-0.022442872406234195,0.8,0.0,118,0.0,62.0267,0.0,140.486,59.6744,0.0,0.0,140.486,59.6744,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
28,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.29302,9973.62,1,-0.022442872406234195,0.8,0.0,118,0.0,62.0267,0.0,140.486,59.6744,0.0,0.0,140.486,59.6744,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
29,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.29302,10192.4,1,-0.022442872406234195,0.8,0.0,118,0.0,62.0267,0.0,140.486,59.6744,0.0,0.0,140.486,59.6744,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
30,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.29302,10411.0,1,-0.022442872406234195,0.8,0.0,118,0.0,62.0267,0.0,140.486,59.6744,0.0,0.0,140.486,59.6744,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
