step,distFromStart,distRaced,curLapTime,rpm,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3,sector,sector_cap,max_speed_param,steer_gain,center_gain,brake_gain,speedX,speedY,speedZ,angle,trackPos,front,front_delta,target_speed,steer,accel,brake,gear,risk,aggression,target_trackPos,mode,front_risk,closing_risk,edge_risk,angle_risk,slide_risk,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18
18,3598.45,0.0,-0.642,8570.94,0.0,0.0,0.0,0.0,359,218.0,218.0,1.2664886666666666,0.5699482133333333,0.8072459466666666,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,62.0267,0.0,134.0,-0.006002513999999997,1.0,0.0,1,0.17297733333333334,0.9,0.0,post_final_boost,0.17297733333333334,0.0,0.0,0.0,0.0,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
19,3598.45,0.0,-0.622,8828.3,0.0,0.0,0.0,0.0,359,218.0,218.0,1.2664886666666666,0.5699482133333333,0.8072459466666666,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,62.0267,0.0,134.0,-0.006002513999999997,1.0,0.0,1,0.17297733333333334,0.9,0.0,post_final_boost,0.17297733333333334,0.0,0.0,0.0,0.0,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
20,3598.45,0.0,-0.602,9093.88,0.0,0.0,0.0,0.0,359,218.0,218.0,1.2664886666666666,0.5699482133333333,0.8072459466666666,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,62.0267,0.0,134.0,-0.006002513999999997,1.0,0.0,1,0.17297733333333334,0.9,0.0,post_final_boost,0.17297733333333334,0.0,0.0,0.0,0.0,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
21,3598.45,0.0,-0.582,9367.96,0.0,0.0,0.0,0.0,359,218.0,218.0,1.2664886666666666,0.5699482133333333,0.8072459466666666,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,62.0267,0.0,134.0,-0.006002513999999997,1.0,0.0,1,0.17297733333333334,0.9,0.0,post_final_boost,0.17297733333333334,0.0,0.0,0.0,0.0,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
22,3598.45,0.0,-0.562,9648.33,0.0,0.0,0.0,0.0,359,218.0,218.0,1.2664886666666666,0.5699482133333333,0.8072459466666666,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,62.0267,0.0,134.0,-0.006002513999999997,1.0,0.0,1,0.17297733333333334,0.9,0.0,post_final_boost,0.17297733333333334,0.0,0.0,0.0,0.0,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
23,3598.45,0.0,-0.542,9928.97,0.0,0.0,0.0,0.0,359,218.0,218.0,1.2664886666666666,0.5699482133333333,0.8072459466666666,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,62.0267,0.0,134.0,-0.006002513999999997,1.0,0.0,1,0.17297733333333334,0.9,0.0,post_final_boost,0.17297733333333334,0.0,0.0,0.0,0.0,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
24,3598.45,0.0,-0.522,10209.6,0.0,0.0,0.0,0.0,359,218.0,218.0,1.2664886666666666,0.5699482133333333,0.8072459466666666,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,62.0267,0.0,134.0,-0.006002513999999997,1.0,0.0,1,0.17297733333333334,0.9,0.0,post_final_boost,0.17297733333333334,0.0,0.0,0.0,0.0,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
25,3598.45,0.0,-0.502,10490.3,0.0,0.0,0.0,0.0,359,218.0,218.0,1.2664886666666666,0.5699482133333333,0.8072459466666666,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,62.0267,0.0,134.0,-0.006002513999999997,1.0,0.0,1,0.17297733333333334,0.9,0.0,post_final_boost,0.17297733333333334,0.0,0.0,0.0,0.0,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
26,3598.45,0.0,-0.482,10770.9,0.0,0.0,0.0,0.0,359,218.0,218.0,1.2664886666666666,0.5699482133333333,0.8072459466666666,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,62.0267,0.0,134.0,-0.006002513999999997,1.0,0.0,1,0.17297733333333334,0.9,0.0,post_final_boost,0.17297733333333334,0.0,0.0,0.0,0.0,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
27,3598.45,0.0,-0.462,11051.5,0.0,0.0,0.0,0.0,359,218.0,218.0,1.2664886666666666,0.5699482133333333,0.8072459466666666,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,62.0267,0.0,134.0,-0.006002513999999997,1.0,0.0,1,0.17297733333333334,0.9,0.0,post_final_boost,0.17297733333333334,0.0,0.0,0.0,0.0,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
28,3598.45,0.0,-0.442,11332.2,0.0,0.0,0.0,0.0,359,218.0,218.0,1.2664886666666666,0.5699482133333333,0.8072459466666666,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,62.0267,0.0,134.0,-0.006002513999999997,1.0,0.0,1,0.17297733333333334,0.9,0.0,post_final_boost,0.17297733333333334,0.0,0.0,0.0,0.0,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
